provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI SUMATERA UTARA,KABUPATEN PADANG LAWAS,1221010406990305,HARIANTO PECHT,"PADANG LAWAS, 04-06-1999",PEREMPUAN,O,JL WARU 5-B,014/011,HUTABARU SOSOPAN,SOSOPAN,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,PADANG LAWAS,01-12-2015
PROVINSI RIAU,KABUPATEN KAMPAR,1401120212890307,LUKMAN HERRY LATIP,"TAPUNG HULU, 02-12-1989",PEREMPUAN,B,JL PD JAYA II 21,020/011,SENAMA NENEK,TAPUNG HULU,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,KAMPAR,02-09-2020
PROVINSI SUMATERA UTARA,KABUPATEN NIAS UTARA,1224072602631541,PURNA HARJANI,"ALASA, 26-02-1963",LAKI-LAKI,O,JL KETANG KETANG 3,015/001,ONONAMOLO TUMULA,ALASA,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,NIAS UTARA,14-03-2014
PROVINSI NUSA TENGGARA TIMUR,KABUPATEN BELU,5304040107846238,CHRISTOPHER JAMES GARRARD,"BELU, 01-07-1984",PEREMPUAN,B,KUNINGAN TIMUR,004/010,RINBESIHAT,TASIFETO BARAT,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,BELU,18-02-2019
PROVINSI JAWA BARAT,KABUPATEN CIREBON,3209392101625630,TJIA WIWIN ANGGONO,"SURANENGGALA, 21-01-1962",PEREMPUAN,O,JL.JATIWARINGIN,028/023,SURANENGGALA KIDUL,SURANENGGALA,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,CIREBON,13-09-2012
PROVINSI SUMATERA BARAT,KABUPATEN SOLOK,1302081203833308,UTAMA GONDOKUSUMO,"BUKIT SUNDI, 12-03-1983",PEREMPUAN,AB,JL GURU SERIH 38,015/017,KINARI,BUKIT SUNDI,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,SOLOK,06-06-2013
PROVINSI JAMBI,KABUPATEN TANJUNG JABUNG TIMUR,1507080612018343,NIA SONIATI WITYASMORO,"TANJUNG JABUNG TIMUR, 06-12-2001",LAKI-LAKI,A,JL KRAMAT KWITANG I A-14,013/016,KAMPUNG LAUT,KUALA JAMBI,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,TANJUNG JABUNG TIMUR,15-02-2019
PROVINSI JAWA TIMUR,KABUPATEN BONDOWOSO,3511052710571548,SETIAWAN ACHMAD,"BONDOWOSO, 27-10-1957",LAKI-LAKI,B,JL VETERAN III 7-A,008/003,KEJAYAN,PUJER,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,BONDOWOSO,04-05-2018
PROVINSI NUSA TENGGARA BARAT,KABUPATEN SUMBAWA,5204080607758054,RADIUS CHRISTANTO,"SUMBAWA, 06-07-1975",PEREMPUAN,AB,JL JATIMAKMUR 31,003/030,UMA SIMA,SUMBAWA,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,SUMBAWA,18-06-2017
PROVINSI KALIMANTAN BARAT,KABUPATEN MELAWI,6110100907886115,RONALD POTTER,"MELAWI, 09-07-1988",LAKI-LAKI,O,JL HEDAM I 37,013/012,BELOYANG,BELIMBING HULU,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,MELAWI,27-03-2014
