provinsi,kabupaten,nik,nama,ttl,gender,goldar,alamat,rtrw,kelurahan,kecamatan,agama,perkawinan,pekerjaan,kewarganegaraan,berlaku,sign_place,sign_date
PROVINSI DKI JAKARTA,JAKARTA SELATAN,3174070406000305,LILA MUSTIKA ILMI,"JAKARTA SELATAN, 04-06-2000",PEREMPUAN,O,JL.  PANCA WARGA GG VIII 4,014/011,PETOGOGAN,KEBAYORAN BARU,ISLAM,CERAI MATI,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,JAKARTA SELATAN,01-12-2016
PROVINSI DKI JAKARTA,JAKARTA TIMUR,3175030212900307,JENIFER MARIANA PUTNARUBUN,"JATINEGARA, 02-12-1990",PEREMPUAN,B,JL.  SULTAN ISKANDAR MUDA 22 B AUR,020/011,CIPINANG BESAR UTARA,JATINEGARA,ISLAM,CERAI MATI,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,JAKARTA TIMUR,02-09-2021
PROVINSI DKI JAKARTA,JAKARTA PUSAT,3171072602641541,HAERUN RIJAL,"TANAH ABANG, 26-02-1964",LAKI-LAKI,O,JL.  MAMPANG PRAPATAN 17-D,015/001,GELORA,TANAH ABANG,ISLAM,CERAI HIDUP,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,JAKARTA PUSAT,14-03-2015
PROVINSI DKI JAKARTA,JAKARTA TIMUR,3175010107856238,PRISKA GEOFANNY PUTRI CLARASARI,"JAKARTA TIMUR, 01-07-1985",PEREMPUAN,B,JL.  KRAMAT RAYA 118,004/010,PALMERIAM,MATRAMAN,ISLAM,KAWIN,PETANI/PEKEBUN,WNI,SEUMUR HIDUP,JAKARTA TIMUR,18-02-2020
PROVINSI DKI JAKARTA,JAKARTA TIMUR,3175102101635630,MONALISA MANULLANG,"CIPAYUNG, 21-01-1963",PEREMPUAN,O,JL.  NUSANTARA 9,028/023,LUBANG BUAYA,CIPAYUNG,ISLAM,KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,JAKARTA TIMUR,13-09-2013
PROVINSI DKI JAKARTA,JAKARTA BARAT,3173071203843308,PINA FITRIANI,"PAL MERAH, 12-03-1984",PEREMPUAN,AB,RUKO ALIBABA BLOK D NO.7,015/017,JATIPULO,PAL MERAH,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,JAKARTA BARAT,06-06-2014
PROVINSI DKI JAKARTA,JAKARTA BARAT,3173070612028343,NAUFAL ANNAS,"JAKARTA BARAT, 06-12-2002",LAKI-LAKI,A,DESA BANYU POH,013/016,KEMANGGISAN,PAL MERAH,ISLAM,KAWIN,BELUM/TIDAK BEKERJA,WNI,SEUMUR HIDUP,JAKARTA BARAT,15-02-2020
PROVINSI DKI JAKARTA,JAKARTA TIMUR,3175052710581548,QUINNO CORLEY,"JAKARTA TIMUR, 27-10-1958",LAKI-LAKI,B,JL.  BOGEN II 32,008/003,PEKAYON,PASAR REBO,ISLAM,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,JAKARTA TIMUR,04-05-2019
PROVINSI DKI JAKARTA,JAKARTA SELATAN,3174080607768054,INGGRID WINANDAR,"PANCORAN, 06-07-1976",PEREMPUAN,AB,KOMPLEKS RUKO GOLDEN ROAD BLOK S/112-B,003/030,KALIBATA,PANCORAN,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,JAKARTA SELATAN,18-06-2018
PROVINSI DKI JAKARTA,JAKARTA BARAT,3173030907896115,IGNASIUS DWI SEPTIAN,"JAKARTA BARAT, 09-07-1989",LAKI-LAKI,O,JL.  JENDRAL A YANI 673,013/012,KEAGUNGAN,TAMAN SARI,ISLAM,BELUM KAWIN,MENGURUS RUMAH TANGGA,WNI,SEUMUR HIDUP,JAKARTA BARAT,27-03-2015
