provinsi,kabkota,nik,nama,ttl,goldar,gender,alamat,rtrw,keldesa,kecamatan,agama,status,pekerjaan,warga,berlaku,sign_kabkota,sign_tgl,face
Provinsi DKI Jakarta,Jakarta Selatan,317502271170000,Dudi Novianto,"Jakarta, 27-11-1970",O,Laki-Laki,Jl. Pisangan Lama 1/20,010/001,Pisangan Timur,Pulogading,Islam,Kawin,Karyawan Swasta,WNI,27-11-2016,Jakarta Timur ,16-12-2011,Dudi.png
Provinsi Jawa Barat,Bekasi,310317893878746,Arik Malinda Sari,"Bekasi, 12-02-1988",A,Perempuan,Komplek Pertamina Tegalgede,012/004,Pasir Sari,Cikarang Selatan,Islam,Kawin,Karyawan BUMN,WNI,Seumur Hidup,Bekasi,08-04-2016,Arik.png
Provinsi Jawa Barat,Bekasi,114672836483728,Faisal Amin,"Aceh, 09-06-1978",B+,Laki-Laki,Jatibening Estate Blok B6,004/034,Jatibening,Pondok Gede,Islam,Kawin,Wiraswasta,WNI,Seumur Hidup,Bekasi,26-06-2015,Faisal.png
Provinsi DKI Jakarta,Jakarta Barat,317689297483929,Kristina,"Banda Aceh, 03-06-1983",O+,Perempuan,Resort Hawaian,007/014,Cengkareng Timur,Cengkareng,Kristen,Kawin,Mengurus Rumah Tangga,WNI,03-06-2019,Jakarta Barat,21-12-2013,Kristina.png
Provinsi Jawa Barat,Bekasi,312495839382944,Roy Givsi Butar,"Bali, 26-03-1996",A,Laki-Laki,Perumahan Meliland Blok 10,098/013,Telagamurni,Cikarang Barat,Kristen,Belum Kawin,Karyawan Swasta,WNI,Seumur Hidup,Bekasi,23-11-2013,Roy.png
Provinsi Jawa Barat,Depok,313458793485983,Pangidoan,"Gunung Barani, 10-02-1978",AB,Laki-Laki,Bojongsari Baru,003/004,Bojongsari Baru,Bojongsari,Islam,Kawin,Wiraswasta,WNI,Seumur Hidup,Kota Depok,30-12-2016,Pangi.png
Provinsi DKI Jakarta,Jakarta Barat,366483949573949,Ferdinan Agustinus,"Puluh, 29-09-1968",O,Laki-Laki,TMN Palem Lestari,014/016,Cengkareng Barat,Cengkareng,Kristen,Belum Kawin,Karyawan BUMN,WNI,Seumur Hidup,Jakarta Barat,18-04-2017,Ferdinan.png
Provinsi DKI Jakarta,Jakarta Barat,348575967393947,Lia Widya,"Medan, 24-12-1994",A,Perempuan,TMN Palem Lestari Blok 08,007/008,Cengkareng Barat,Cengkareng,Kristen,Kawin,Mengurus Rumah Tangga,WNI,Seumur Hidup,Jakarta Barat,01-02-2016,Lia.png
Provinsi DKI Jakarta,Jakarta Timur,342527849323728,Rolin Gunawan,"Medan, 11-09-1897",B,Laki-Laki,Jl. Kayu Jati IV,010/012,Rawamangun,Pulogading,Kristen,Kawin,Karyawan BUMN,WNI,Seumur Hidup,Jakarta Timur ,10-01-2017,Rolin.png
Provinsi DKI Jakarta,Jakarta Barat,367284759574938,Siaw Hong,"Bali, 23-06-1978",A,Perempuan,Palem Lestari Blok A,007/003,Pegadungan,Kalideres,Budha,Kawin,Mengurus Rumah Tangga,WNI,Seumur Hidup,Jakarta Barat,24-07-2018,Siaw.png
Provinsi DKI Jakarta,Jakarta Selatan,324849475900389,Lidiya Volvariaty,"Medan, 27-04-1987",AB,Perempuan,Kuningan Timur,089/011,Kuningan Timur,Setia Budi,Islam,Kawin,Karyawan Swasta,WNI,Seumur Hidup,Jakarta Selatan,04-04-2016,Lidiya.png
Provinsi DKI Jakarta,Jakarta Barat,345311137847908,Novita,"Lubuk Basung, 06-12-1994",O,Perempuan,Jl Satria X No 14,011/006,Jelambar,Grogol Petamburan,Islam,Belum Kawin,Karyawan BUMN,WNI,Seumur Hidup,Jakarta Barat,18-08-2017,Novita.png
Provinsi DKI Jakarta,Jakarta Pusat,311364847339475,Endang N,"Pekan Kamis, 22-07-1987",B,Perempuan,Jl Rawa Tengah,014/017,Galur,Johar Baru,Islam,Belum Kawin,Karyawan Swasta,WNI,Seumur Hidup,Jakarta Pusat,09-08-2009,Endang.png
Provinsi DKI Jakarta,Jakarta Pusat,334538749574983,Defrima Putra,"Nagari Gadang, 12-09-1978",A,Laki-Laki,Jl Tarung Satu No 2,008/003,Serdang,Kemayoran,Islam,Kawin,Wiraswasta,WNI,Seumur Hidup,Jakarta Pusat,08-09-2012,Defrima.png
Provinsi DKI Jakarta,Jakarta Selatan,317502271170000,Shintia Octavia,"Jambi, 03-12-2978",O,Perempuan,Jl Way Seputih 2 No 3A,018/001,Tanjung Duren Selatan,Grogol Petamburan,Kristen,Kawin,Karyawan BUMN,WNI,Seumur Hidup,Jakarta Selatan,02-12-2015,Shintia.png
Provinsi Jawa Barat,Bekasi,310317893878746,Meidia Syafitri,"Taba Jemekeh, 31-05-1987",AB,Perempuan,Jl Wijaya Timur No 09,005/008,Petagoran,Kebayoran Baru,Islam,Kawin,Karyawan Swasta,WNI,Seumur Hidup,Bekasi,05-06-2012,Meidia.png
